WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
Gm45864	0.5666	0.5763	2.0133	1.5145	0.5714	1.7639	4	0.6864
Acsbg2	0.9471	0.9351	2.025	2.2461	0.9411	2.1356	4	0.6865
Gm26716	0.7251	0.8813	2.2397	1.9146	0.8032	2.0771	4	0.6865
n-R5s213	0.4626	0.542	1.4494	1.8671	0.5023	1.6583	4	0.6865
Gm45588	0.6323	0.434	1.7587	1.4356	0.5331	1.5972	4	0.6865
1700031M16Rik	0.3885	0.5763	1.4834	1.6745	0.4824	1.5789	4	0.6866
Gm33206	0.4626	0.8254	1.7163	1.2073	0.644	1.4618	4	0.6867
9930111H07Rik	0.5666	0.7058	1.3967	1.2259	0.6362	1.3113	4	0.6867
Gm22649	1.117	1.2857	1.2259	1.263	1.2014	1.2445	4	0.6867
Gm29599	0.6951	0.4709	1.4319	1.3522	0.583	1.392	4	0.6868
Gm45499	0.6323	0.5069	2.025	1.6604	0.5696	1.8427	4	0.6868
Trim66	0.7251	0.8254	2.2497	1.8432	0.7752	2.0465	4	0.6869
Gm42588	1.0468	1.0854	2.2397	1.9605	1.0661	2.1001	4	0.687
Gm26568	1.1622	1.5675	1.5494	1.419	1.3649	1.4842	4	0.687
Gm23459	0.4988	0.7958	1.2461	1.3522	0.6473	1.2991	4	0.6871
Gm45601	0.7553	1.0614	1.3045	1.109	0.9084	1.2068	4	0.6871
Gm38111	1.1401	0.7958	1.0996	1.369	0.9679	1.2343	4	0.6871
Gm24231	0.3115	0.7958	1.4319	1.5145	0.5536	1.4732	4	0.6872
Gm45514	0.5666	0.6098	1.9538	2.005	0.5882	1.9794	4	0.6873
Bpifb5	0.8953	1.0122	2.147	2.1405	0.9538	2.1437	4	0.6873
Olfr279	0.3115	0.7058	1.4834	1.6182	0.5086	1.5508	4	0.6873
Gm22989	0.4265	0.7364	1.8918	2.005	0.5815	1.9484	4	0.6875
1700017D01Rik	0.3505	0.6098	1.5494	1.6466	0.4801	1.598	4	0.6876
Gm5345	0.4626	0.6745	1.2851	1.4678	0.5685	1.3765	4	0.6877
4930563D23Rik	0.3885	0.6098	1.8532	1.688	0.4991	1.7706	4	0.6877
Slc25a18	0.5666	0.6745	1.3967	1.2449	0.6205	1.3208	4	0.6879
Gm45733	0.4265	0.7664	1.2259	1.545	0.5965	1.3854	4	0.6879
Gm18291	0.3505	0.6425	1.6581	1.8671	0.4965	1.7626	4	0.688
Fblim1	1.4249	1.4425	1.5331	1.6604	1.4337	1.5967	4	0.6881
9430073C21Rik	0.4265	0.8254	2.0817	1.6323	0.626	1.857	4	0.6882
Gm8756	0.5331	0.5069	1.84	1.4678	0.52	1.6539	4	0.6882
5430430B14Rik	1.0468	1.0122	2.0367	2.2274	1.0295	2.1321	4	0.6882
Gm27204	0.6003	0.6098	1.3785	1.2815	0.605	1.33	4	0.6882
Sfta2	1.0942	1.109	2.2299	1.949	1.1016	2.0894	4	0.6883
Mir6393	0.4265	0.6425	1.342	1.5145	0.5345	1.4282	4	0.6883
Gm26767	0.8679	0.8813	1.0321	1.369	0.8746	1.2006	4	0.6883
Gm11348	0.7841	0.7058	1.4319	1.109	0.7449	1.2705	4	0.6884
Gm24724	0.8408	1.1322	1.1641	1.2073	0.9865	1.1857	4	0.6884
Gm25726	0.7251	0.7664	1.0772	1.4027	0.7457	1.24	4	0.6884
Ngef	0.9471	1.3663	2.1257	1.9829	1.1567	2.0543	4	0.6884
Bcl2l15	0.7251	0.7958	2.0817	2.1306	0.7604	2.1061	4	0.6884
Ifi27l2a	1.4249	1.4425	1.6581	1.5893	1.4337	1.6237	4	0.6885
Gm44316	0.4988	0.6098	1.2851	1.4988	0.5543	1.3919	4	0.6885
Pmp2	0.4265	0.5069	1.6126	1.6745	0.4667	1.6435	4	0.6885
CU025215.2	0.8123	0.7664	1.6429	1.0461	0.7893	1.3445	4	0.6885
4933435F18Rik	0.3885	0.7364	1.342	1.4678	0.5624	1.4049	4	0.6885
AC122188.1	1.3488	1.4797	1.4319	1.7803	1.4143	1.6061	4	0.6885
Cxcl15	0.3505	0.6098	1.6875	1.7677	0.4801	1.7276	4	0.6886
Gm11490	0.4626	0.6745	1.2654	1.4988	0.5685	1.3821	4	0.6886
Gm45449	1.4249	1.3663	1.7307	1.4356	1.3956	1.5832	4	0.6888
Gm23376	0.6645	0.5069	1.4319	1.3173	0.5857	1.3746	4	0.6889
Gm25190	0.6323	1.0122	1.0996	1.3522	0.8222	1.2259	4	0.689
Cd63-ps	0.9731	1.0122	1.0772	1.2815	0.9926	1.1794	4	0.6891
Gm24032	0.7251	0.7364	2.0817	2.1003	0.7307	2.091	4	0.6891
AL844586.1	1.0229	1.1776	2.2792	1.6041	1.1002	1.9416	4	0.6892
Glp2r	0.8953	0.7058	2.1577	2.0268	0.8005	2.0922	4	0.6892
Gm13521	0.5666	0.5069	1.9169	1.8793	0.5367	1.8981	4	0.6892
Gm24406	0.9471	1.109	1.2461	1.129	1.0281	1.1875	4	0.6894
Gm43117	0.4265	0.5069	1.6276	1.6466	0.4667	1.6371	4	0.6894
Gm9359	0.4265	0.5069	1.5969	1.6604	0.4667	1.6287	4	0.6895
Gm29291	1.117	1.3063	1.0772	1.5145	1.2116	1.2959	4	0.6896
AC159821.2	1.1622	0.9084	2.2597	1.7933	1.0353	2.0265	4	0.6896
Gm37640	1.4615	1.1551	1.3231	1.4515	1.3083	1.3873	4	0.6896
Gm20412	0.7553	1.037	2.2197	2.005	0.8962	2.1124	4	0.6897
Gm13348	0.4988	0.4709	1.7163	1.8432	0.4848	1.7798	4	0.6897
AC161884.2	0.4988	0.7058	2.0479	1.903	0.6023	1.9755	4	0.6897
1700047M11Rik	0.8953	1.4238	1.2259	1.3346	1.1596	1.2802	4	0.6898
Gm10629	0.7841	0.3573	1.8659	1.6604	0.5707	1.7631	4	0.6898
Mir488	0.4626	0.542	1.7022	1.4356	0.5023	1.5689	4	0.6899
Gm37333	1.0704	0.987	2.2497	1.949	1.0287	2.0994	4	0.69
Slc27a5	0.5666	0.3962	1.6126	1.688	0.4814	1.6503	4	0.6901
Gm26795	0.6003	0.542	1.2851	1.4515	0.5711	1.3683	4	0.6901
Lcn8	0.8408	0.9351	2.2792	1.903	0.8879	2.0911	4	0.6901
Gm44886	0.3115	0.7364	1.5969	1.903	0.5239	1.75	4	0.6903
AC160393.2	0.4626	0.5069	1.7022	1.8671	0.4847	1.7847	4	0.6905
2310065F04Rik	0.5666	0.6098	1.517	1.2449	0.5882	1.381	4	0.6905
4930465I24Rik	0.3885	0.7664	1.8918	1.9716	0.5774	1.9317	4	0.6905
Ppp2r2b	0.6323	0.4709	1.517	1.3522	0.5516	1.4346	4	0.6905
Gm12565	0.7841	0.7058	1.0772	1.419	0.7449	1.2481	4	0.6906
Gm24669	0.4626	0.6098	1.745	1.3522	0.5362	1.5486	4	0.6906
Bpifb3	0.7553	0.7958	2.2693	1.7545	0.7755	2.0119	4	0.6907
Mir7651	1.2479	1.1776	1.2054	1.2992	1.2128	1.2523	4	0.6907
1700034E13Rik	0.5331	0.8813	1.1427	1.4027	0.7072	1.2727	4	0.6908
Gm28221	0.4265	0.8536	1.2259	1.4515	0.6401	1.3387	4	0.6908
Gm13707	0.6951	0.9613	2.2299	1.949	0.8282	2.0894	4	0.6908
Gm28112	0.7841	0.8813	1.1852	1.1884	0.8327	1.1868	4	0.6908
Gm22892	0.4988	0.4709	1.7862	1.7803	0.4848	1.7832	4	0.6908
4930448D08Rik	0.4626	0.8254	1.2259	1.4027	0.644	1.3143	4	0.6909
Cd300lb	1.117	1.4049	2.0367	2.005	1.261	2.0209	4	0.6909
Gm26346	0.6003	0.9351	1.4319	1.109	0.7677	1.2705	4	0.6909
AC158603.3	0.6645	0.5763	2.1147	1.6041	0.6204	1.8594	4	0.6909
9130214F15Rik	0.3885	0.6745	1.342	1.5597	0.5315	1.4509	4	0.6909
Gm18215	0.6323	0.6745	1.342	1.2259	0.6534	1.2839	4	0.691
4930528G23Rik	0.5331	0.4709	1.84	1.5597	0.502	1.6998	4	0.6911
Gm37169	1.4065	1.4425	1.7163	1.5296	1.4245	1.623	4	0.6911
B830042I05Rik	0.6951	0.9613	2.2397	1.9264	0.8282	2.083	4	0.6912
Neu4	0.5666	0.6098	1.2851	1.3857	0.5882	1.3354	4	0.6912
4930519D14Rik	0.3505	0.6425	1.745	1.8432	0.4965	1.7941	4	0.6912
Gm15766	0.7251	0.5069	2.0817	1.7416	0.616	1.9116	4	0.6913
AC159208.1	0.5331	0.7664	1.0996	1.688	0.6497	1.3938	4	0.6913
Fcgr4	1.1401	1.2648	2.1577	1.9605	1.2025	2.0591	4	0.6913
CT030247.3	0.3885	0.987	1.2851	1.4027	0.6877	1.3439	4	0.6914
AC133183.2	0.4626	0.8254	2.0367	1.9716	0.644	2.0041	4	0.6914
Gm5787	0.5331	0.6425	1.3606	1.3173	0.5878	1.339	4	0.6914
Gm37848	0.3115	0.7058	1.6727	1.5145	0.5086	1.5936	4	0.6915
Gm24433	0.3115	0.6745	1.745	1.688	0.493	1.7165	4	0.6915
Gm22716	0.8123	0.7958	1.1852	1.2073	0.804	1.1963	4	0.6915
Gm39094	0.8408	1.2004	2.2095	1.9939	1.0206	2.1017	4	0.6916
Gm23981	0.6645	0.7364	1.2851	1.2073	0.7004	1.2462	4	0.6917
4930412B13Rik	0.7553	0.6745	1.8789	2.2274	0.7149	2.0532	4	0.6917
Gm22762	0.4265	0.7058	1.2654	1.5296	0.5661	1.3975	4	0.6917
Sap18b	0.7251	0.7664	1.5494	1.0676	0.7457	1.3085	4	0.6919
Gm38337	0.3885	0.7958	1.2654	1.5145	0.5921	1.39	4	0.692
Gm44020	0.8953	1.0122	1.0996	1.2449	0.9538	1.1723	4	0.692
AC140264.1	0.5331	0.542	1.4319	1.3857	0.5375	1.4088	4	0.692
Olfr1328	0.6323	0.5763	1.9538	2.0374	0.6043	1.9956	4	0.6921
Gm16202	0.6645	0.5069	1.2654	1.4678	0.5857	1.3666	4	0.6922
Rpl28-ps3	0.9471	0.7958	1.3967	1.0676	0.8714	1.2322	4	0.6922
Gm8918	0.4626	0.5763	1.6727	2.005	0.5194	1.8388	4	0.6923
Cd163l1	0.4626	0.4709	1.6126	1.6323	0.4668	1.6224	4	0.6923
Cyp11b1	0.5666	0.6745	1.9661	2.069	0.6205	2.0175	4	0.6927
Krt39	0.7553	0.4709	1.2461	1.4988	0.6131	1.3724	4	0.6927
1700006H21Rik	0.4265	0.6098	1.9042	1.8307	0.5181	1.8674	4	0.6927
Slc22a22	0.5331	0.542	1.8266	1.9939	0.5375	1.9102	4	0.6928
Gm9951	0.9731	1.0854	2.1683	2.1104	1.0292	2.1393	4	0.6928
Gm9625	0.9214	0.7664	1.1852	1.2073	0.8439	1.1963	4	0.6928
Gm13688	0.3885	0.8254	1.8789	1.3522	0.6069	1.6156	4	0.6929
Gm25622	0.4265	0.6098	1.8532	1.903	0.5181	1.8781	4	0.6931
4930487D11Rik	0.5666	0.542	2.0133	1.5893	0.5543	1.8013	4	0.6931
Gm19918	1.1401	1.0122	1.1852	1.2073	1.0762	1.1963	4	0.6931
Trbj1-2	0.6323	0.7364	1.7862	2.2461	0.6843	2.0161	4	0.6931
Gm24409	0.6323	0.4709	1.5656	1.3346	0.5516	1.4501	4	0.6931
Gm12901	0.6323	0.5069	2.0367	1.7018	0.5696	1.8692	4	0.6932
Gm33968	0.4265	0.542	1.6875	1.8793	0.4843	1.7834	4	0.6932
Defb28	0.7251	0.6098	2.1577	1.8307	0.6674	1.9942	4	0.6932
Gm11753	0.9731	1.6012	1.9042	1.5145	1.2871	1.7093	4	0.6933
1700100L14Rik	0.3505	0.6745	1.517	1.4678	0.5125	1.4924	4	0.6934
Fam81b	0.6003	0.6098	1.4319	1.2449	0.605	1.3384	4	0.6935
Gm4894	0.4265	0.6098	1.4494	1.4356	0.5181	1.4425	4	0.6935
AC135019.2	0.6323	0.8813	1.1427	1.2992	0.7568	1.221	4	0.6936
AC161052.5	0.6645	0.3573	1.745	1.7416	0.5109	1.7433	4	0.6936
Gm26807	0.6951	0.5069	1.5969	1.2449	0.601	1.4209	4	0.6936
Gm16232	0.6951	0.3573	1.6126	1.5145	0.5262	1.5635	4	0.6937
Gm29730	0.4265	0.542	1.8266	1.6466	0.4843	1.7366	4	0.6937
Gng5-ps	0.3885	0.542	1.5969	1.6604	0.4652	1.6287	4	0.6938
4930578I07Rik	0.2702	0.7364	1.6126	1.688	0.5033	1.6503	4	0.6938
Gm24271	0.4988	0.4709	1.7727	1.5597	0.4848	1.6662	4	0.6938
Gm43262	0.3505	0.6745	1.8789	1.688	0.5125	1.7834	4	0.6938
Gm27151	1.3685	1.2648	1.9778	1.9716	1.3167	1.9747	4	0.6938
AC131117.2	0.6951	0.5763	2.0817	1.9264	0.6357	2.004	4	0.6939
Gm24541	0.3115	0.7664	1.8532	1.5597	0.5389	1.7065	4	0.6939
AL670603.1	1.3098	1.2004	1.2054	1.369	1.2551	1.2872	4	0.694
AC154816.2	1.2892	1.2004	1.0996	1.8184	1.2448	1.459	4	0.694
Gm43494	0.3885	0.6425	1.9169	1.7018	0.5155	1.8093	4	0.6941
AC098716.1	1.269	1.4977	1.9415	1.6323	1.3834	1.7869	4	0.6941
Mir6934	1.2479	1.4977	1.9538	1.5893	1.3728	1.7716	4	0.6941
Gm18009	1.0704	1.0122	0.9855	1.4834	1.0413	1.2344	4	0.6942
Gm4714	0.6003	0.3962	1.4668	1.6466	0.4982	1.5567	4	0.6942
Gm42966	1.0229	1.0614	2.2693	1.9264	1.0422	2.0979	4	0.6942
Gm24617	0.6003	0.9613	1.4834	1.0881	0.7808	1.2858	4	0.6943
AC168056.3	0.4988	0.542	1.9538	1.6466	0.5204	1.8002	4	0.6943
Krt20	0.4626	0.7958	1.2461	1.3857	0.6292	1.3159	4	0.6944
AC163719.1	0.7553	0.4709	2.0479	1.7933	0.6131	1.9206	4	0.6944
Gm3238	0.3505	0.6745	1.4147	1.5597	0.5125	1.4872	4	0.6944
Gm42573	0.9471	1.0614	1.2259	1.129	1.0043	1.1774	4	0.6945
AC159272.1	0.5331	0.5763	1.2259	1.715	0.5547	1.4705	4	0.6945
Abcb11	0.6003	0.6425	1.1217	1.6323	0.6214	1.377	4	0.6946
A430010J10Rik	0.8123	1.0122	0.9855	1.4515	0.9123	1.2185	4	0.6946
Gm12539	0.3885	0.6098	1.3967	1.6182	0.4991	1.5075	4	0.6946
Rps16-ps2	0.6645	0.7664	1.2851	1.1884	0.7154	1.2368	4	0.6946
Gm20637	0.3505	0.6745	1.5969	1.9377	0.5125	1.7673	4	0.6946
Gm44043	0.5331	0.6425	1.3785	1.2992	0.5878	1.3389	4	0.6946
AC154266.1	0.3885	0.542	1.5811	1.6604	0.4652	1.6207	4	0.6947
Gm44439	0.5331	0.7664	1.3967	1.2073	0.6497	1.302	4	0.6947
Gm38386	1.4065	1.3063	1.7022	2.0587	1.3564	1.8804	4	0.6948
Gm16184	0.8408	1.1551	1.2054	1.1686	0.9979	1.187	4	0.6948
Gm45823	1.206	1.3265	1.0996	1.6182	1.2663	1.3589	4	0.695
Bpifb9a	0.3885	0.6745	1.4494	1.419	0.5315	1.4342	4	0.6951
Akr1c18	0.4626	0.6098	1.2654	1.688	0.5362	1.4767	4	0.6952
Gm13491	0.4626	0.6425	1.7022	1.2992	0.5525	1.5007	4	0.6953
Gm26883	0.4988	0.5069	1.4668	1.4678	0.5028	1.4673	4	0.6954
Fyb	1.4967	1.3063	1.5656	1.4834	1.4015	1.5245	4	0.6954
Gm5118	0.3885	0.5763	1.7999	1.6182	0.4824	1.7091	4	0.6954
Gm43505	0.7841	1.1776	0.9855	1.5597	0.9808	1.2726	4	0.6955
AC161374.2	0.3885	0.542	1.6276	1.7545	0.4652	1.691	4	0.6955
Gm27884	1.1401	1.1322	1.2259	1.1884	1.1362	1.2071	4	0.6955
Gm15519	0.6951	0.5069	1.2851	1.4027	0.601	1.3439	4	0.6955
Mir1197	0.7553	0.9351	1.1217	1.2449	0.8452	1.1833	4	0.6956
Rpl37rt	0.7841	0.9351	0.9613	1.5597	0.8596	1.2605	4	0.6957
Bpifa1	0.3115	0.7058	1.517	1.5296	0.5086	1.5233	4	0.6957
Olfr1421-ps1	0.5331	0.5069	1.7307	1.9939	0.52	1.8623	4	0.6958
Gm45479	1.0229	1.0122	1.1217	1.2259	1.0176	1.1738	4	0.696
AC160997.3	0.3505	0.6745	1.5969	1.4356	0.5125	1.5163	4	0.696
CT485607.1	0.5666	0.7664	1.4834	1.1493	0.6665	1.3163	4	0.696
Gm20589	0.4988	0.6425	2.0367	1.8432	0.5706	1.9399	4	0.6961
4930474B08Rik	0.7251	1.0854	2.2397	1.949	0.9053	2.0943	4	0.6962
Gm44270	0.9214	1.037	1.0321	1.3346	0.9792	1.1833	4	0.6963
Gm29571	0.6951	0.7058	1.1641	1.3173	0.7004	1.2407	4	0.6963
Gm23677	0.4265	0.5763	1.8532	1.8432	0.5014	1.8482	4	0.6964
Gm10451	1.3488	1.5155	1.4834	1.6604	1.4322	1.5719	4	0.6964
Kcnmb4os1	0.7841	0.7364	1.1427	1.2815	0.7602	1.2121	4	0.6966
AC138401.2	0.4988	0.4709	1.6276	1.891	0.4848	1.7593	4	0.6967
Gm12867	1.3294	1.4977	1.4834	1.4988	1.4136	1.4911	4	0.6967
Prss39	0.3885	0.6425	1.8532	1.8793	0.5155	1.8663	4	0.6968
Gm45410	0.4988	0.5763	1.4668	1.3522	0.5375	1.4095	4	0.6968
Gm25037	1.0942	1.0614	1.1641	1.2073	1.0778	1.1857	4	0.6968
Gm22186	0.5331	0.4709	1.4494	1.4988	0.502	1.4741	4	0.6968
Gm44507	0.8679	0.9084	2.1147	2.1798	0.8882	2.1473	4	0.6968
Mir7676-2	0.6003	0.434	1.8918	1.6041	0.5171	1.7479	4	0.6969
Gm11149	0.8953	0.4709	1.9778	1.9939	0.6831	1.9858	4	0.6969
Gm37354	0.4988	0.5069	1.4834	1.4515	0.5028	1.4675	4	0.697
Gm7412	0.4988	0.6745	1.4147	1.2815	0.5866	1.3481	4	0.697
Gm26403	0.7251	0.8536	1.0772	1.3346	0.7893	1.2059	4	0.697
Gm44307	0.2702	0.7364	1.5656	1.6604	0.5033	1.613	4	0.6971
AC126806.3	0.6323	0.4709	1.9538	1.5145	0.5516	1.7342	4	0.6973
AC126939.3	0.6003	0.7058	1.0772	1.688	0.653	1.3826	4	0.6973
1700020G17Rik	0.7251	0.7058	1.1641	1.2992	0.7154	1.2317	4	0.6973
Gm24398	0.6003	0.7364	1.0772	1.5597	0.6683	1.3185	4	0.6973
Gm14108	0.5666	0.3962	1.7307	1.6745	0.4814	1.7026	4	0.6973
Gm26356	0.4988	0.8536	1.9294	2.1405	0.6762	2.0349	4	0.6974
Mir3474	0.6323	0.8813	1.0552	1.4356	0.7568	1.2454	4	0.6974
Gm15636	0.9471	1.109	2.147	2.1405	1.0281	2.1437	4	0.6975
Cldn19	1.0942	1.1322	2.1683	2.069	1.1132	2.1187	4	0.6975
n-R5s70	0.5331	0.434	1.745	1.5597	0.4835	1.6524	4	0.6975
Gm15886	1.3098	0.987	1.1217	1.419	1.1484	1.2703	4	0.6976
AC163040.3	0.9731	0.8813	0.9855	1.4515	0.9272	1.2185	4	0.6978
4921517D22Rik	0.3115	0.7664	1.8789	1.5893	0.5389	1.7341	4	0.6978
Gm6189	0.8123	0.8254	1.0321	1.3857	0.8188	1.2089	4	0.698
AC025913.2	0.5666	0.3962	1.7022	1.7677	0.4814	1.7349	4	0.6981
Gm37229	0.6951	0.9613	1.2461	1.1493	0.8282	1.1977	4	0.6982
Gm23970	0.5666	0.6425	1.2851	1.3346	0.6045	1.3098	4	0.6982
Xcl1	0.5331	0.5763	1.2654	1.8793	0.5547	1.5724	4	0.6983
Rps15a-ps7	0.3505	0.6098	1.745	1.5893	0.4801	1.6672	4	0.6983
Gm22671	0.6323	0.6745	1.0772	1.6466	0.6534	1.3619	4	0.6984
Rps27a-ps1	0.9214	0.8536	1.2654	1.109	0.8875	1.1872	4	0.6984
Gm24747	0.5331	0.6425	1.2461	1.419	0.5878	1.3326	4	0.6984
Gm28706	0.5331	0.8813	1.2654	1.2449	0.7072	1.2552	4	0.6984
CT571245.3	0.5666	0.7364	1.1427	1.4356	0.6515	1.2892	4	0.6985
1700023C21Rik	0.6645	0.9351	2.2197	1.9605	0.7998	2.0901	4	0.6985
Gm45607	0.7251	0.5763	1.1427	1.4834	0.6507	1.3131	4	0.6985
Gm29560	1.4065	1.4797	1.6727	1.7677	1.4431	1.7202	4	0.6985
Polr2k-ps	0.5331	0.8254	1.1217	1.4515	0.6792	1.2866	4	0.6986
Gm27161	0.3115	0.7958	1.4834	1.4356	0.5536	1.4595	4	0.6987
Mir1943	1.4431	1.1551	1.2851	1.4356	1.2991	1.3604	4	0.6988
Gm13885	0.6645	0.434	1.3231	1.545	0.5493	1.434	4	0.6988
Mir1971	0.4265	0.542	1.4319	1.7803	0.4843	1.6061	4	0.6989
4933402N03Rik	0.3885	0.6425	1.8918	1.545	0.5155	1.7184	4	0.6989
Il1bos	0.4988	0.7364	1.9661	2.0587	0.6176	2.0124	4	0.6989
Gm14303	0.4265	0.9351	2.0594	1.9377	0.6808	1.9985	4	0.6989
Gm6916	0.7251	1.0122	2.1365	2.1306	0.8686	2.1336	4	0.699
Rpl21-ps13	0.6323	0.3962	1.745	1.891	0.5142	1.818	4	0.699
4930595D18Rik	0.8123	1.1551	1.1427	1.2259	0.9837	1.1843	4	0.6991
Gm20647	0.6323	0.4709	1.6276	1.3173	0.5516	1.4725	4	0.6991
Tectb	0.6951	0.7664	2.0707	2.1306	0.7307	2.1007	4	0.6992
Cd27	1.5821	1.1551	1.5494	1.7933	1.3686	1.6713	4	0.6993
1190005I06Rik	0.5331	0.987	2.2095	1.6041	0.76	1.9068	4	0.6993
Gm15880	1.5316	1.3063	1.6429	1.5893	1.4189	1.6161	4	0.6993
Gm12949	0.8408	0.9613	1.0321	1.3346	0.901	1.1833	4	0.6994
Ighg2b	0.5666	0.542	1.9899	1.4988	0.5543	1.7443	4	0.6994
Slc51b	0.5666	0.7058	1.1427	1.4678	0.6362	1.3053	4	0.6994
AC122447.1	0.6003	0.6745	1.1641	1.419	0.6374	1.2916	4	0.6994
Gm44541	0.4265	0.542	1.5494	1.4834	0.4843	1.5164	4	0.6995
Gm42565	0.5331	0.7664	2.1683	1.7416	0.6497	1.9549	4	0.6996
Gm29664	0.3885	0.6425	1.8135	1.9264	0.5155	1.87	4	0.6996
n-R5s42	0.4265	0.7364	1.3231	1.3857	0.5815	1.3544	4	0.6998
Mir1968	0.8679	0.7058	2.2299	1.903	0.7868	2.0665	4	0.6999
Gm37068	0.6323	0.9084	1.1427	1.2815	0.7703	1.2121	4	0.6999
Gm44427	0.4626	0.5069	1.8135	1.5597	0.4847	1.6866	4	0.7
Gm11829	0.6645	0.7958	1.1427	1.2992	0.7301	1.221	4	0.7
Olfr314	0.3885	0.542	1.6581	1.5893	0.4652	1.6237	4	0.7
Gm8614	0.4626	0.8813	1.1641	1.4515	0.6719	1.3078	4	0.7
Gm24593	0.6003	0.8254	1.1852	1.2815	0.7128	1.2334	4	0.7001
CT010463.1	0.9978	1.5504	1.7022	1.2815	1.2741	1.4919	4	0.7001
Ces3a	0.3115	0.6425	1.6875	1.6604	0.477	1.6739	4	0.7002
Gm12035	1.0468	1.0614	1.0552	1.3173	1.0541	1.1862	4	0.7002
C1rl	0.8953	1.4049	1.1427	1.4027	1.1501	1.2727	4	0.7002
Tnfrsf4	1.1622	1.2222	1.3045	1.1686	1.1922	1.2366	4	0.7003
Gm25594	0.4265	0.6098	1.8532	1.4515	0.5181	1.6524	4	0.7003
AC154264.3	1.4431	1.1551	1.9778	1.4356	1.2991	1.7067	4	0.7003
Gm38273	0.5666	0.8254	1.0772	1.4988	0.696	1.288	4	0.7004
Dhrs2	0.4988	0.6745	1.8659	2.0898	0.5866	1.9779	4	0.7005
Gm10848	0.6323	0.7058	1.1427	1.3857	0.669	1.2642	4	0.7005
Gm15182	0.5331	0.6745	1.3785	1.263	0.6038	1.3208	4	0.7005
Gm15173	1.2271	0.8813	1.0996	2.005	1.0542	1.5523	4	0.7006
AC107851.1	0.6323	0.6745	1.0772	1.6182	0.6534	1.3477	4	0.7006
Gm25787	0.4265	0.6098	1.9538	1.7286	0.5181	1.8412	4	0.7007
Tmigd1	1.117	1.4049	1.1427	1.4834	1.261	1.3131	4	0.7008
Gm42579	0.8123	0.9613	1.9538	2.3007	0.8868	2.1273	4	0.7008
AC123619.1	1.2892	1.5504	1.4494	1.7677	1.4198	1.6085	4	0.7009
Gm24473	0.5331	0.5763	1.6875	2.1003	0.5547	1.8939	4	0.7009
Mir5120	0.3505	0.5763	1.6429	1.7018	0.4634	1.6724	4	0.7011
Gm17116	0.3885	0.542	1.5811	1.5893	0.4652	1.5852	4	0.7012
Gm23762	0.5666	0.5763	1.4147	1.2992	0.5714	1.357	4	0.7013
Mir466q	0.4265	0.7958	1.3785	1.2992	0.6112	1.3389	4	0.7013
Gm13038	1.0942	1.0122	1.0321	1.369	1.0532	1.2006	4	0.7014
Gm37161	0.4265	0.6098	1.3045	1.7286	0.5181	1.5165	4	0.7014
AC153979.1	0.6003	0.6098	1.1641	1.5145	0.605	1.3393	4	0.7015
Gm38404	0.5331	0.7664	2.1577	1.8184	0.6497	1.9881	4	0.7015
Gm24257	0.4988	0.7664	2.147	1.715	0.6326	1.931	4	0.7015
Gm21221	0.4265	0.8254	2.0479	1.9146	0.626	1.9812	4	0.7015
AC154612.1	0.4988	0.6098	1.2259	1.5893	0.5543	1.4076	4	0.7015
Gm15678	0.5331	0.6745	1.3231	1.2992	0.6038	1.3112	4	0.7015
Gimap7	0.6951	0.5763	2.1147	1.8793	0.6357	1.997	4	0.7016
Gm16336	0.5331	0.542	1.84	2.005	0.5375	1.9225	4	0.7016
Serpinb12	0.9471	0.8813	0.9855	1.4356	0.9142	1.2106	4	0.7017
Gm18066	0.6323	0.6425	1.9899	2.0898	0.6374	2.0399	4	0.7017
Gm22747	0.6951	0.6425	1.1217	1.4356	0.6688	1.2787	4	0.7018
AC107808.2	0.6323	0.7058	1.1217	1.419	0.669	1.2703	4	0.7018
Gm44933	0.3115	0.7664	1.8532	1.8552	0.5389	1.8542	4	0.7019
AC164092.4	1.117	1.2222	2.1257	2.0796	1.1696	2.1026	4	0.7019
Gm23788	0.4626	0.6745	1.3045	1.4027	0.5685	1.3536	4	0.7021
Mepe	0.5331	0.5763	1.342	1.3857	0.5547	1.3638	4	0.7021
CT009546.3	0.9214	0.542	1.3231	1.2449	0.7317	1.284	4	0.7021
Gm43756	1.1401	0.9351	1.1217	1.263	1.0376	1.1924	4	0.7022
AC160863.3	0.5331	0.5763	1.2654	1.4834	0.5547	1.3744	4	0.7024
Mir8093	1.4431	1.4238	1.7163	1.8307	1.4335	1.7735	4	0.7024
AC124581.1	0.7553	0.542	2.104	1.891	0.6487	1.9975	4	0.7024
Gm22442	1.184	1.4425	1.1641	1.6604	1.3133	1.4123	4	0.7025
Bmp5	1.4065	1.4797	1.6276	1.8057	1.4431	1.7167	4	0.7026
Gm25417	0.4988	0.8254	2.147	1.5296	0.6621	1.8383	4	0.7026
Gm16268	0.6003	0.9084	1.0321	1.5145	0.7543	1.2733	4	0.7026
6030469F06Rik	1.4967	1.2004	1.4319	1.419	1.3485	1.4254	4	0.7026
Gm15745	0.5666	0.6745	2.147	1.7545	0.6205	1.9507	4	0.7027
Gm29803	0.7553	1.0854	1.0321	1.369	0.9204	1.2006	4	0.7027
